"image","height","width","boxes","relative_boxes","annotations","anno_type","relative_annotations","iou_score","max_iou_score","num_of_annotations","avg_score"
"[[[152 152 152]
  [152 152 152]
  [152 152 152]
  ...
  [174 174 174]
  [174 174 174]
  [174 174 174]]

 [[155 155 155]
  [156 156 156]
  [156 156 156]
  ...
  [174 174 174]
  [174 174 174]
  [174 174 174]]

 [[156 156 156]
  [156 156 156]
  [157 157 157]
  ...
  [175 175 175]
  [175 175 175]
  [176 176 176]]

 ...

 [[176 176 176]
  [175 175 175]
  [175 175 175]
  ...
  [184 184 184]
  [185 185 185]
  [185 185 185]]

 [[176 176 176]
  [175 175 175]
  [175 175 175]
  ...
  [184 184 184]
  [184 184 184]
  [184 184 184]]

 [[176 176 176]
  [175 175 175]
  [175 175 175]
  ...
  [183 183 183]
  [183 183 183]
  [182 182 182]]]",683,1024,"[[0.0, 6.151464939117432, 406.2188415527344, 622.1290893554688], [425.4707946777344, 79.2685546875, 648.0745239257812, 530.4552001953125]]","[[0.0, 0.009006537246145582, 0.39669808745384216, 0.9108771440050787], [0.415498822927475, 0.11605937728770131, 0.6328852772712708, 0.7766547587047035]]","[[0.0, 1.9219620000000002, 402.56, 617.0064910000001], [421.76, 73.041386, 647.04, 524.744119]]","<class 'list'>","[[0.0, 0.002814, 0.393125, 0.9033770000000001], [0.411875, 0.10694200000000001, 0.631875, 0.7682929999999999]]","[[0.9902921213996336, 0.5329982258252716], [0.536957577342464, 0.9857951871783006]]","[0.9902921213996336, 0.9857951871783006]",2,0.9880436542889671
"[[[ 45  45  45]
  [ 43  43  43]
  [ 41  41  41]
  ...
  [ 15  15  15]
  [ 15  15  15]
  [ 15  15  15]]

 [[ 45  45  45]
  [ 43  43  43]
  [ 40  40  40]
  ...
  [ 15  15  15]
  [ 15  15  15]
  [ 15  15  15]]

 [[ 44  44  44]
  [ 42  42  42]
  [ 39  39  39]
  ...
  [ 15  15  15]
  [ 15  15  15]
  [ 15  15  15]]

 ...

 [[143 143 143]
  [145 145 145]
  [149 149 149]
  ...
  [149 149 149]
  [150 150 150]
  [151 151 151]]

 [[145 145 145]
  [148 148 148]
  [152 152 152]
  ...
  [149 149 149]
  [150 150 150]
  [151 151 151]]

 [[147 147 147]
  [150 150 150]
  [154 154 154]
  ...
  [149 149 149]
  [150 150 150]
  [151 151 151]]]",683,1024,"[[170.80517578125, 86.82832336425781, 632.9817504882812, 675.7931518554688]]","[[0.16680192947387695, 0.1271278526563072, 0.6181462407112122, 0.9894482457620333]]","[[169.6, 90.34041, 636.8, 682.3593460000001]]","<class 'list'>","[[0.165625, 0.13227, 0.621875, 0.9990620000000001]]","[[0.9887842878680304]]","[0.9887842878680304]",1,0.9887842878680304
"[[[170 170 170]
  [176 176 176]
  [194 194 194]
  ...
  [ 90  90  90]
  [ 90  90  90]
  [ 90  90  90]]

 [[168 168 168]
  [171 171 171]
  [184 184 184]
  ...
  [ 90  90  90]
  [ 90  90  90]
  [ 90  90  90]]

 [[171 171 171]
  [174 174 174]
  [183 183 183]
  ...
  [ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]]

 ...

 [[ 82  82  82]
  [ 47  47  47]
  [ 72  72  72]
  ...
  [ 61  61  61]
  [ 69  69  69]
  [ 68  68  68]]

 [[ 64  64  64]
  [ 34  34  34]
  [ 76  76  76]
  ...
  [ 56  56  56]
  [ 70  70  70]
  [ 66  66  66]]

 [[ 80  80  80]
  [ 93  93  93]
  [112 112 112]
  ...
  [ 47  47  47]
  [ 64  64  64]
  [ 86  86  86]]]",681,1024,"[[7.121826171875, 0.8105713129043579, 597.4131469726562, 666.3197021484375], [478.69268798828125, 0.436767578125, 1015.4202270507812, 567.8413696289062], [0.0, 1.525976538658142, 223.35824584960938, 560.9381713867188], [15.271093368530273, 0.7950195074081421, 913.3076171875, 665.2120971679688]]","[[0.00695490837097168, 0.001190266245087163, 0.5834112763404846, 0.9784430281181168], [0.4674733281135559, 0.0006413620824155654, 0.9916213154792786, 0.8338346103214482], [0.0, 0.0022407878688078444, 0.21812328696250916, 0.8236977553402625], [0.014913177117705345, 0.0011674295262968312, 0.891901969909668, 0.9768165890865914]]","[[0.0, 0.0, 905.641984, 652.403448]]","<class 'list'>","[[0.0, 0.0, 0.884416, 0.9580080000000001]]","[[0.8288304559060465, 0.6683932664641873, 0.6013383700936243, 0.9782506632338887]]","[0.9782506632338887]",1,0.9782506632338887
"[[[26 26 26]
  [25 25 25]
  [25 25 25]
  ...
  [ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]]

 [[25 25 25]
  [24 24 24]
  [23 23 23]
  ...
  [ 3  3  3]
  [ 2  2  2]
  [ 2  2  2]]

 [[27 27 27]
  [25 25 25]
  [24 24 24]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 ...

 [[14 14 14]
  [12 12 12]
  [10 10 10]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[14 14 14]
  [13 13 13]
  [11 11 11]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[15 15 15]
  [13 13 13]
  [11 11 11]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]]",768,1024,"[[111.6705093383789, 2.0894775390625, 1024.0, 767.4866943359375], [29.802343368530273, 0.18125000596046448, 1024.0, 762.9674682617188]]","[[0.10905323177576065, 0.0027206738789876304, 1.0, 0.9993316332499186], [0.029103850945830345, 0.00023600261192768812, 1.0, 0.9934472242991129]]","[[215.04, 0.0, 1023.36, 767.360256]]","<class 'list'>","[[0.21, 0.0, 0.999375, 0.999167]]","[[0.9449886867806936, 0.9054428672606012]]","[0.9449886867806936]",1,0.9449886867806936
"[[[ 21  21  21]
  [ 19  19  19]
  [ 15  15  15]
  ...
  [ 37  37  37]
  [ 37  37  37]
  [ 37  37  37]]

 [[ 22  22  22]
  [ 19  19  19]
  [ 15  15  15]
  ...
  [ 35  35  35]
  [ 35  35  35]
  [ 35  35  35]]

 [[ 23  23  23]
  [ 20  20  20]
  [ 17  17  17]
  ...
  [ 32  32  32]
  [ 32  32  32]
  [ 32  32  32]]

 ...

 [[171 171 171]
  [171 171 171]
  [172 172 172]
  ...
  [ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]]

 [[169 169 169]
  [169 169 169]
  [170 170 170]
  ...
  [ 12  12  12]
  [ 11  11  11]
  [ 11  11  11]]

 [[167 167 167]
  [168 168 168]
  [169 169 169]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]]",768,1024,"[[1.4065430164337158, 69.0785140991211, 1022.3133544921875, 764.0051879882812]]","[[0.0013735771644860506, 0.08994598189989726, 0.9983528852462769, 0.9947984218597412]]","[[0.0, 0.0, 1023.36, 767.360256]]","<class 'list'>","[[0.0, 0.0, 0.999375, 0.999167]]","[[0.9516813787450559]]","[0.9516813787450559]",1,0.9516813787450559
"[[[ 22  22  22]
  [ 24  24  24]
  [ 27  27  27]
  ...
  [ 52  52  52]
  [ 48  48  48]
  [ 88  88  88]]

 [[ 25  25  25]
  [ 27  27  27]
  [ 28  28  28]
  ...
  [ 55  55  55]
  [ 61  61  61]
  [ 61  61  61]]

 [[ 21  21  21]
  [ 28  28  28]
  [ 25  25  25]
  ...
  [ 53  53  53]
  [ 73  73  73]
  [ 48  48  48]]

 ...

 [[107 107 107]
  [120 120 120]
  [136 136 136]
  ...
  [130 130 130]
  [122 122 122]
  [106 106 106]]

 [[111 111 111]
  [120 120 120]
  [132 132 132]
  ...
  [136 136 136]
  [131 131 131]
  [123 123 123]]

 [[121 121 121]
  [127 127 127]
  [133 133 133]
  ...
  [131 131 131]
  [131 131 131]
  [129 129 129]]]",768,1024,"[[183.2502899169922, 118.00715637207031, 897.7708129882812, 619.1014404296875]]","[[0.17895536124706268, 0.1536551515261332, 0.8767293095588684, 0.8061216672261556]]","[[179.84, 103.040256, 889.6, 613.119744]]","<class 'list'>","[[0.175625, 0.134167, 0.86875, 0.798333]]","[[0.9772080468142045]]","[0.9772080468142045]",1,0.9772080468142045
"[[[172 172 172]
  [174 174 174]
  [173 173 173]
  ...
  [153 153 153]
  [180 180 180]
  [158 158 158]]

 [[174 174 174]
  [174 174 174]
  [170 170 170]
  ...
  [187 187 187]
  [202 202 202]
  [172 172 172]]

 [[180 180 180]
  [177 177 177]
  [170 170 170]
  ...
  [191 191 191]
  [171 171 171]
  [123 123 123]]

 ...

 [[100 100 100]
  [100 100 100]
  [105 105 105]
  ...
  [218 218 218]
  [217 217 217]
  [214 214 214]]

 [[103 103 103]
  [102 102 102]
  [108 108 108]
  ...
  [220 220 220]
  [224 224 224]
  [224 224 224]]

 [[100 100 100]
  [ 99  99  99]
  [105 105 105]
  ...
  [207 207 207]
  [211 211 211]
  [211 211 211]]]",768,1024,"[[9.018945693969727, 64.0925521850586, 996.1295166015625, 768.0], [9.027636528015137, 27.923534393310547, 360.7055358886719, 481.74273681640625]]","[[0.008807564154267311, 0.08345384399096172, 0.9727827310562134, 1.0], [0.008816051296889782, 0.03635876874128977, 0.35225149989128113, 0.6272691885630289]]","[[8.96, 23.679744, 977.28, 767.360256]]","<class 'list'>","[[0.00875, 0.030833, 0.954375, 0.999167]]","[[0.96394951599469, 0.558090458507535]]","[0.96394951599469]",1,0.96394951599469
"[[[ 77  77  77]
  [ 77  77  77]
  [ 77  77  77]
  ...
  [ 55  55  55]
  [ 57  57  57]
  [ 57  57  57]]

 [[ 77  77  77]
  [ 78  78  78]
  [ 78  78  78]
  ...
  [ 58  58  58]
  [ 58  58  58]
  [ 59  59  59]]

 [[ 78  78  78]
  [ 78  78  78]
  [ 79  79  79]
  ...
  [ 60  60  60]
  [ 60  60  60]
  [ 60  60  60]]

 ...

 [[118 118 118]
  [119 119 119]
  [119 119 119]
  ...
  [162 162 162]
  [163 163 163]
  [164 164 164]]

 [[121 121 121]
  [121 121 121]
  [122 122 122]
  ...
  [161 161 161]
  [161 161 161]
  [160 160 160]]

 [[121 121 121]
  [121 121 121]
  [122 122 122]
  ...
  [161 161 161]
  [161 161 161]
  [160 160 160]]]",850,768,"[[0.0, 0.0, 244.93814086914062, 810.818115234375]]","[[0.0, 0.0, 0.31892987092336017, 0.9539036649816176]]","[[0.0, 1.59375, 241.659648, 816.53125]]","<class 'list'>","[[0.0, 0.001875, 0.314661, 0.960625]]","[[0.9924040981029507]]","[0.9924040981029507]",1,0.9924040981029507
"[[[  3   3   3]
  [  5   5   5]
  [  6   6   6]
  ...
  [  9   9   9]
  [ 12  12  12]
  [ 30  30  30]]

 [[  9   9   9]
  [  6   6   6]
  [  2   2   2]
  ...
  [ 14  14  14]
  [ 10  10  10]
  [  7   7   7]]

 [[  9   9   9]
  [ 12  12  12]
  [ 13  13  13]
  ...
  [  9   9   9]
  [ 13  13  13]
  [ 13  13  13]]

 ...

 [[146 146 146]
  [151 151 151]
  [ 94  94  94]
  ...
  [143 143 143]
  [154 154 154]
  [116 116 116]]

 [[106 106 106]
  [158 158 158]
  [160 160 160]
  ...
  [140 140 140]
  [137 137 137]
  [ 89  89  89]]

 [[106 106 106]
  [161 161 161]
  [188 188 188]
  ...
  [137 137 137]
  [124 124 124]
  [ 69  69  69]]]",683,1024,"[[160.537109375, 118.5703125, 974.6722412109375, 621.1730346679688]]","[[0.15677452087402344, 0.17360221449487556, 0.9518283605575562, 0.9094773567613013]]","[[151.04, 114.046657, 906.88, 610.5992679999999]]","<class 'list'>","[[0.1475, 0.166979, 0.885625, 0.8939959999999999]]","[[0.9461886979516875]]","[0.9461886979516875]",1,0.9461886979516875
"[[[ 0  0  0]
  [ 0  0  0]
  [ 2  2  2]
  ...
  [94 94 94]
  [94 94 94]
  [94 94 94]]

 [[ 0  0  0]
  [ 2  2  2]
  [ 3  3  3]
  ...
  [96 96 96]
  [97 97 97]
  [99 99 99]]

 [[ 2  2  2]
  [ 3  3  3]
  [ 4  4  4]
  ...
  [91 91 91]
  [92 92 92]
  [95 95 95]]

 ...

 [[56 56 56]
  [50 50 50]
  [46 46 46]
  ...
  [26 26 26]
  [41 41 41]
  [51 51 51]]

 [[61 61 61]
  [55 55 55]
  [53 53 53]
  ...
  [29 29 29]
  [45 45 45]
  [54 54 54]]

 [[60 60 60]
  [54 54 54]
  [53 53 53]
  ...
  [30 30 30]
  [42 42 42]
  [45 45 45]]]",1024,685,"[[76.03984069824219, 0.09951172024011612, 587.0479736328125, 1024.0]]","[[0.11100706671276232, 9.71794142969884e-05, 0.8570043410697993, 1.0]]","[[0.0, 0.0, 679.000085, 1002.0003839999999]]","<class 'list'>","[[0.0, 0.0, 0.991241, 0.9785159999999999]]","[[0.8685262038129901]]","[0.8685262038129901]",1,0.8685262038129901
