image,height,width,boxes,relative_boxes,annotations,anno_type,relative_annotations,iou_score,max_iou_score,num_of_annotations,avg_score
"[[[14 18 19]
  [13 17 18]
  [14 16 17]
  ...
  [32 51 56]
  [31 50 53]
  [30 49 52]]

 [[15 17 18]
  [14 16 17]
  [13 15 15]
  ...
  [31 51 56]
  [28 51 53]
  [27 50 52]]

 [[13 15 15]
  [12 14 14]
  [12 14 14]
  ...
  [31 51 56]
  [28 50 55]
  [28 50 55]]

 ...

 [[14 30 43]
  [14 30 43]
  [14 30 43]
  ...
  [ 0 48 84]
  [ 1 46 83]
  [ 1 46 83]]

 [[14 30 42]
  [14 30 42]
  [14 30 43]
  ...
  [ 0 47 83]
  [ 1 46 83]
  [ 1 46 83]]

 [[14 30 42]
  [14 30 42]
  [15 31 44]
  ...
  [ 0 46 84]
  [ 1 46 84]
  [ 1 46 84]]]",768,1024,"[[82.5462875366211, 26.001855850219727, 1008.9412841796875, 744.0496215820312], [79.9765625, 16.760936737060547, 1024.0, 745.0916748046875], [234.3306427001953, 1.3253662586212158, 951.6521606445312, 568.4464721679688]]","[[0.08061160892248154, 0.03385658313830694, 0.9852942228317261, 0.9688146114349365], [0.07810211181640625, 0.02182413637638092, 1.0, 0.9701714515686035], [0.22883851826190948, 0.0017257373159130414, 0.929347813129425, 0.7401646773020426]]","[[219.199488, 0.0, 955.2005119999999, 609.5999999999999]]",<class 'list'>,"[[0.214062, 0.0, 0.9328129999999999, 0.7937499999999998]]","[[0.8079817381171298, 0.8052541749202504, 0.9588784835483661]]",[0.9588784835483661],1,0.9588784835483661
"[[[ 28  28  28]
  [ 30  30  30]
  [ 33  33  33]
  ...
  [  8   8   8]
  [  6   6   6]
  [  4   4   4]]

 [[ 26  26  26]
  [ 29  29  29]
  [ 32  32  32]
  ...
  [  7   7   7]
  [  7   7   7]
  [  6   6   6]]

 [[ 24  24  24]
  [ 26  26  26]
  [ 30  30  30]
  ...
  [  9   9   9]
  [  8   8   8]
  [  7   7   7]]

 ...

 [[201 201 201]
  [196 196 196]
  [198 198 198]
  ...
  [ 35  35  35]
  [ 34  34  34]
  [ 33  33  33]]

 [[201 201 201]
  [199 199 199]
  [196 196 196]
  ...
  [ 35  35  35]
  [ 33  33  33]
  [ 31  31  31]]

 [[202 202 202]
  [204 204 204]
  [201 201 201]
  ...
  [ 33  33  33]
  [ 33  33  33]
  [ 30  30  30]]]",1024,740,"[[45.237281799316406, 11.847949028015137, 491.3203125, 642.1015625], [25.753515243530273, 5.090136528015137, 735.2107543945312, 1024.0]]","[[0.06113146189096812, 0.011570262722671032, 0.6639463682432433, 0.6270523071289062], [0.03480204762639226, 0.004970836453139782, 0.9935280464790963, 1.0]]","[[26.90936, 11.52, 657.3508800000001, 734.08]]",<class 'list'>,"[[0.036364, 0.01125, 0.8883120000000001, 0.716875]]","[[0.8197344120111716, 0.8083313165165681]]",[0.8197344120111716],1,0.8197344120111716
"[[[36 33 35]
  [34 32 32]
  [34 34 34]
  ...
  [ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]]

 [[36 34 34]
  [37 35 35]
  [38 36 36]
  ...
  [ 8  8  8]
  [ 8  8  8]
  [ 8  8  8]]

 [[33 31 31]
  [38 36 36]
  [35 36 34]
  ...
  [ 8  8  8]
  [ 8  8  8]
  [ 8  8  8]]

 ...

 [[19 19 19]
  [14 14 14]
  [11 11 11]
  ...
  [14 14 14]
  [ 9  9  9]
  [ 8  8  8]]

 [[15 15 15]
  [14 14 14]
  [14 14 14]
  ...
  [ 6  6  6]
  [10 10 10]
  [16 16 16]]

 [[10 10 10]
  [11 11 11]
  [15 15 15]
  ...
  [ 9  9  9]
  [ 8  8  8]
  [ 9  9  9]]]",861,1024,"[[56.941795349121094, 63.792991638183594, 868.2307739257812, 772.4724731445312]]","[[0.05560722202062607, 0.07409174406293101, 0.8478816151618958, 0.897180572757876]]","[[97.28, 62.094459, 830.72, 762.417222]]",<class 'list'>,"[[0.095, 0.072119, 0.81125, 0.885502]]",[[0.9504631083066407]],[0.9504631083066407],1,0.9504631083066407
"[[[214 216 197]
  [213 215 196]
  [213 214 198]
  ...
  [235 233 223]
  [223 223 211]
  [220 220 208]]

 [[216 218 199]
  [215 217 198]
  [215 216 200]
  ...
  [224 222 212]
  [219 219 207]
  [229 229 217]]

 [[218 220 201]
  [218 220 201]
  [217 218 202]
  ...
  [227 225 215]
  [223 222 212]
  [223 222 212]]

 ...

 [[123 189 194]
  [115 183 188]
  [102 176 180]
  ...
  [ 36  66 113]
  [ 38  71 117]
  [ 41  74 120]]

 [[142 200 205]
  [133 196 200]
  [124 197 201]
  ...
  [ 34  64 111]
  [ 37  70 116]
  [ 41  74 120]]

 [[143 198 201]
  [139 200 202]
  [129 200 204]
  ...
  [ 30  60 107]
  [ 32  65 111]
  [ 35  68 114]]]",768,1024,"[[294.3631286621094, 366.14111328125, 732.6449584960938, 615.2813720703125], [173.85848999023438, 694.6795043945312, 573.1771240234375, 761.6663818359375], [151.26513671875, 0.0, 971.8521728515625, 714.0421142578125], [23.617773056030273, 3.0596680641174316, 909.7974853515625, 740.4348754882812]]","[[0.2874639928340912, 0.4767462412516276, 0.7154735922813416, 0.8011476198832194], [0.16978368163108826, 0.9045306046803793, 0.5597432851791382, 0.991753101348877], [0.1477198600769043, 0.0, 0.949074387550354, 0.9297423362731934], [0.023064231500029564, 0.0039839427918195724, 0.8884741067886353, 0.9641079107920328]]","[[275.627008, 372.052992, 764.587008, 615.253248]]",<class 'list'>,"[[0.269167, 0.48444400000000004, 0.746667, 0.801111]]","[[0.9610476615191065, 0.5032062549471238, 0.559635067452436, 0.5320416476030119]]",[0.9610476615191065],1,0.9610476615191065
"[[[ 97  97  83]
  [ 97  97  83]
  [ 97  98  82]
  ...
  [  8  12  17]
  [  7  11  16]
  [  7  11  16]]

 [[ 98  98  84]
  [ 98  98  84]
  [ 98  98  84]
  ...
  [  8  12  17]
  [  7  11  16]
  [  7  11  16]]

 [[ 99  99  87]
  [ 99  99  87]
  [ 99  99  85]
  ...
  [  7  11  16]
  [  7  11  16]
  [  7  11  16]]

 ...

 [[ 95  95 101]
  [ 94  94 100]
  [ 92  95 100]
  ...
  [  5   7   7]
  [  6   8   8]
  [  6   8   8]]

 [[ 94  94 100]
  [ 93  93  99]
  [ 91  94  99]
  ...
  [ 11  11  11]
  [ 12  12  12]
  [ 12  12  12]]

 [[ 93  93  99]
  [ 92  92  98]
  [ 90  93  98]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 14  14  14]]]",768,1024,"[[509.9291076660156, 86.4717788696289, 831.6336669921875, 415.2051696777344], [753.9983520507812, 0.0, 1024.0, 198.8957977294922], [0.0333251953125, 3.352246046066284, 312.093994140625, 358.90087890625], [207.5417938232422, 448.7792053222656, 880.3718872070312, 761.0433349609375]]","[[0.4979776442050934, 0.1125934620698293, 0.8121422529220581, 0.5406317313512167], [0.7363265156745911, 0.0, 1.0, 0.2589789032936096], [3.254413604736328e-05, 0.0043649037058154745, 0.3047792911529541, 0.467318852742513], [0.20267753303050995, 0.5843479235967001, 0.8597381711006165, 0.9909418423970541]]","[[519.199744, 80.00025600000001, 819.2, 413.60025599999994]]",<class 'list'>,"[[0.507031, 0.10416700000000001, 0.8, 0.538542]]","[[0.9767610238531772, 0.5540068479327026, 0.4063821284716622, 0.417981402504462]]",[0.9767610238531772],1,0.9767610238531772
"[[[ 62  93 108]
  [ 63  94 109]
  [ 63  94 109]
  ...
  [ 49 105 122]
  [ 48 104 121]
  [ 47 103 120]]

 [[ 63  94 109]
  [ 63  94 109]
  [ 63  94 109]
  ...
  [ 49 105 122]
  [ 48 104 121]
  [ 47 103 120]]

 [[ 63  94 109]
  [ 63  94 109]
  [ 63  94 109]
  ...
  [ 48 104 123]
  [ 48 104 121]
  [ 47 103 120]]

 ...

 [[ 62 111 143]
  [ 63 112 144]
  [ 64 113 145]
  ...
  [  0 100  68]
  [  0 100  68]
  [  0 101  69]]

 [[ 60 109 141]
  [ 60 109 141]
  [ 61 110 142]
  ...
  [  0 100  68]
  [  0 100  68]
  [  0 101  69]]

 [[ 60 110 140]
  [ 60 110 140]
  [ 60 110 140]
  ...
  [  1 100  68]
  [  1 100  68]
  [  2 101  69]]]",685,1024,[],[],"[[401.99987200000004, 271.99980000000005, 554.0003839999999, 400.00027]]",<class 'list'>,"[[0.39257800000000004, 0.3970800000000001, 0.5410159999999999, 0.583942]]",[[]],[0],1,0.0
"[[[ 96 133 129]
  [100 137 133]
  [102 139 135]
  ...
  [111 146 142]
  [114 147 143]
  [113 146 142]]

 [[ 94 131 127]
  [103 140 136]
  [104 141 137]
  ...
  [113 148 144]
  [117 150 146]
  [116 149 145]]

 [[ 98 133 129]
  [102 137 133]
  [100 137 133]
  ...
  [113 148 144]
  [117 150 146]
  [115 148 144]]

 ...

 [[129 163 156]
  [131 165 158]
  [136 170 163]
  ...
  [124 153 150]
  [125 154 151]
  [121 150 147]]

 [[128 162 155]
  [130 164 157]
  [135 169 162]
  ...
  [125 154 151]
  [124 153 150]
  [120 149 146]]

 [[126 160 153]
  [129 163 156]
  [133 167 160]
  ...
  [125 154 151]
  [124 153 150]
  [119 148 145]]]",683,1024,[],[],"[[394.88, 215.279551, 659.84, 447.858126]]",<class 'list'>,"[[0.385625, 0.315197, 0.644375, 0.655722]]",[[]],[0],1,0.0
"[[[ 46  80  43]
  [ 53  76  44]
  [ 68  61  44]
  ...
  [180 174 151]
  [182 176 153]
  [187 183 159]]

 [[ 48  63  35]
  [ 54  64  41]
  [ 71  68  54]
  ...
  [188 182 159]
  [185 181 157]
  [180 178 154]]

 [[ 80  61  48]
  [ 74  62  52]
  [ 75  74  70]
  ...
  [189 187 163]
  [185 185 161]
  [178 178 154]]

 ...

 [[ 82 103 105]
  [ 87 106 113]
  [ 84 100 113]
  ...
  [134 144 138]
  [148 149 147]
  [152 151 147]]

 [[ 70  96 103]
  [ 77 104 114]
  [ 75  99 111]
  ...
  [120 142 137]
  [146 141 142]
  [159 143 144]]

 [[ 74 103 112]
  [ 79 108 117]
  [ 74 103 117]
  ...
  [117 144 140]
  [144 138 139]
  [164 141 145]]]",768,1024,"[[326.5610656738281, 283.54669189453125, 567.7565307617188, 502.8856506347656], [1.2947266101837158, 0.0, 848.8650512695312, 754.34912109375], [0.22004394233226776, 5.679833889007568, 394.2280578613281, 471.429931640625]]","[[0.3189072906970978, 0.3692014217376709, 0.554449737071991, 0.6547990242640177], [0.001264381455257535, 0.0, 0.8289697766304016, 0.9822254180908203], [0.00021488666243385524, 0.007395617042978604, 0.38498833775520325, 0.6138410568237305]]","[[336.0, 282.24, 568.96, 537.5999999999999]]",<class 'list'>,"[[0.328125, 0.3675, 0.555625, 0.6999999999999998]]","[[0.9569443819297109, 0.451470610167913, 0.5179767906509525]]",[0.9569443819297109],1,0.9569443819297109
"[[[ 39  97  86]
  [ 40  98  87]
  [ 40  98  87]
  ...
  [ 10  68  50]
  [ 10  71  51]
  [ 12  74  52]]

 [[ 39  97  86]
  [ 43 101  90]
  [ 45 103  92]
  ...
  [ 10  66  53]
  [  9  69  51]
  [ 11  71  53]]

 [[ 40  98  87]
  [ 43 101  90]
  [ 46 104  93]
  ...
  [ 10  66  55]
  [ 10  69  55]
  [ 12  71  57]]

 ...

 [[ 92 161 150]
  [ 92 161 151]
  [ 94 161 152]
  ...
  [ 66  88  94]
  [ 65  87  92]
  [ 66  88  93]]

 [[ 93 162 151]
  [ 93 162 151]
  [ 93 160 151]
  ...
  [ 65  90  94]
  [ 67  89  94]
  [ 68  90  95]]

 [[ 94 164 151]
  [ 95 164 151]
  [ 94 162 151]
  ...
  [ 65  90  92]
  [ 68  91  93]
  [ 70  93  95]]]",836,1024,[],[],"[[238.72, 209.96056399999998, 801.28, 715.6569639999999]]",<class 'list'>,"[[0.233125, 0.25114899999999996, 0.7825, 0.8560489999999998]]",[[]],[0],1,0.0
"[[[33 37  1]
  [32 34  0]
  [31 31  1]
  ...
  [47 52 43]
  [50 53 44]
  [53 56 47]]

 [[31 36  7]
  [29 32 10]
  [25 31  0]
  ...
  [48 49 45]
  [47 49 43]
  [48 50 44]]

 [[32 35  9]
  [30 36  5]
  [21 28  1]
  ...
  [45 48 39]
  [43 48 39]
  [42 50 39]]

 ...

 [[17 26 29]
  [17 29 35]
  [14 32 39]
  ...
  [ 9  9  9]
  [ 9  8 10]
  [12  9 11]]

 [[21 27 32]
  [18 29 37]
  [14 33 38]
  ...
  [ 9 10  8]
  [ 9  9  9]
  [ 9  9  9]]

 [[19 29 36]
  [23 35 41]
  [23 35 39]
  ...
  [ 8  8  8]
  [ 8  7  9]
  [ 8  7  9]]]",1024,683,"[[53.784202575683594, 191.8459014892578, 679.9851684570312, 1005.0546875], [59.577735900878906, 197.82431030273438, 677.01953125, 1002.1748046875]]","[[0.0787470023070038, 0.18734951317310333, 0.9955858981801337, 0.9814987182617188], [0.0872294815532634, 0.19318780303001404, 0.9912438232064422, 0.9786863327026367]]","[[81.370571, 208.64, 668.9042460000001, 953.6]]",<class 'list'>,"[[0.11913699999999999, 0.20375, 0.9793620000000001, 0.93125]]","[[0.9344140551397178, 0.9452655284395824]]",[0.9452655284395824],1,0.9452655284395824
"[[[ 47  59  71]
  [ 50  62  74]
  [ 52  66  78]
  ...
  [ 68  68  68]
  [ 64  64  64]
  [ 60  60  60]]

 [[ 49  61  73]
  [ 51  63  75]
  [ 52  66  78]
  ...
  [ 66  66  66]
  [ 63  63  63]
  [ 60  60  60]]

 [[ 50  62  74]
  [ 50  62  74]
  [ 50  64  76]
  ...
  [ 69  69  69]
  [ 68  68  68]
  [ 66  66  66]]

 ...

 [[132 158 174]
  [132 158 174]
  [133 159 175]
  ...
  [ 65 122 143]
  [ 67 124 145]
  [ 70 127 148]]

 [[131 157 174]
  [132 158 175]
  [133 159 176]
  ...
  [ 74 131 152]
  [ 75 132 153]
  [ 72 129 150]]

 [[130 156 173]
  [131 157 174]
  [132 158 175]
  ...
  [ 79 136 157]
  [ 78 135 156]
  [ 70 127 148]]]",680,1024,"[[235.01791381835938, 274.7818298339844, 536.5896606445312, 561.6441650390625]]","[[0.22950968146324158, 0.4040909262264476, 0.524013340473175, 0.8259473015280331]]","[[234.88, 274.6894, 524.16, 554.50124]]",<class 'list'>,"[[0.229375, 0.40395499999999995, 0.511875, 0.815443]]",[[0.9831100666515217]],[0.9831100666515217],1,0.9831100666515217
